1 sentTextTo 3 1669396690.427851
3 receivedTextFrom 1 1669396690.42966
0 sentTextTo 3 1669396690.450593
3 receivedTextFrom 0 1669396690.452354
0 sentTextTo 3 1669396690.471963
3 receivedTextFrom 0 1669396690.473778
0 sentTextTo 3 1669396690.492921
3 receivedTextFrom 0 1669396690.494615
2 sentTextTo 2 1669396690.515911
2 receivedTextFrom 2 1669396690.517814
2 sentTextTo 2 1669396690.538949
2 receivedTextFrom 2 1669396690.540701
2 sentTextTo 2 1669396690.561658
2 receivedTextFrom 2 1669396690.56335
1 sentTextTo 3 1669396690.585388
3 receivedTextFrom 1 1669396690.587187
1 sentTextTo 3 1669396690.606592
3 receivedTextFrom 1 1669396690.608496
1 sentTextTo 3 1669396690.627803
3 receivedTextFrom 1 1669396690.629967
0 sentTextTo 0 1669396690.650004
0 receivedTextFrom 0 1669396690.651998
0 sentTextTo 0 1669396690.672883
0 receivedTextFrom 0 1669396690.674547
0 sentTextTo 0 1669396690.695302
0 receivedTextFrom 0 1669396690.697003
1 sentTextTo 0 1669396690.719113
0 receivedTextFrom 1 1669396690.720919
1 sentTextTo 0 1669396690.740303
0 receivedTextFrom 1 1669396690.742194
1 sentTextTo 0 1669396690.761296
0 receivedTextFrom 1 1669396690.763194
3 sentTextTo 2 1669396690.784287
2 receivedTextFrom 3 1669396690.787134
3 sentTextTo 2 1669396690.805247
2 receivedTextFrom 3 1669396690.80722
3 sentTextTo 2 1669396690.824597
2 receivedTextFrom 3 1669396690.826503
2 sentTextTo 0 1669396690.84677
0 receivedTextFrom 2 1669396690.848815
2 sentTextTo 0 1669396690.866732
0 receivedTextFrom 2 1669396690.868566
2 sentTextTo 0 1669396690.887233
0 receivedTextFrom 2 1669396690.889109
3 sentTextTo 1 1669396690.90953
1 receivedTextFrom 3 1669396690.911508
3 sentTextTo 1 1669396690.930647
1 receivedTextFrom 3 1669396690.932701
3 sentTextTo 1 1669396690.94988
1 receivedTextFrom 3 1669396690.951818
0 sentTextTo 1 1669396690.972405
1 receivedTextFrom 0 1669396690.974254
0 sentTextTo 1 1669396690.993685
1 receivedTextFrom 0 1669396690.995683
0 sentTextTo 1 1669396691.014497
